iter	MultiClass
0	0.9813364933
1	0.8861314763
2	0.8058426572
3	0.735821246
4	0.6856584526
5	0.6277488842
6	0.5872592323
7	0.552112101
8	0.515018649
9	0.4854002984
10	0.4546240684
11	0.4274621787
12	0.4034790783
13	0.3769770017
14	0.3576667331
15	0.3386418239
16	0.3226843009
17	0.3104869729
18	0.2956921044
19	0.2829590993
20	0.2699720113
21	0.2590053298
22	0.2488321148
23	0.2395775976
24	0.2302715271
25	0.2234202757
26	0.2144221112
27	0.2079914849
28	0.2005254975
29	0.1937366513
30	0.1860073593
31	0.1806886988
32	0.1746324819
33	0.1703707619
34	0.1648838638
35	0.1607991116
36	0.1576852502
37	0.1521127388
38	0.1481312903
39	0.1443709478
40	0.140779673
41	0.1372416052
42	0.1335051156
43	0.12991101
44	0.1269548971
45	0.1240262484
46	0.1210559811
47	0.1184651912
48	0.116496738
49	0.1141903589
50	0.1118333238
51	0.1099596316
52	0.1079690041
53	0.1055932615
54	0.1040959337
55	0.10123683
56	0.09849910358
57	0.09676602418
58	0.094746304
59	0.09341014689
60	0.09173383777
61	0.08996751083
62	0.08738395974
63	0.08545216281
64	0.08419319211
65	0.08302012247
66	0.08130400877
67	0.07979957643
68	0.07842369177
69	0.07678709063
70	0.07530301771
71	0.07417427254
72	0.07298022947
73	0.07182803453
74	0.07059724832
75	0.06942988641
76	0.06847809405
77	0.06727921578
78	0.06598450347
79	0.06502076298
80	0.0637061061
81	0.0627808931
82	0.06170955358
83	0.061044687
84	0.06021283574
85	0.05922771768
86	0.05835117751
87	0.05733935462
88	0.05671028253
89	0.05581384933
90	0.0550342182
91	0.05437149423
92	0.0538101311
93	0.05316545366
94	0.05235847755
95	0.05157700058
96	0.0509992378
97	0.05031801936
98	0.04971693062
99	0.04895905432
