iter	Passed	Remaining
0	49	4859
1	50	2463
2	51	1656
3	52	1258
4	53	1015
5	55	868
6	56	750
7	57	661
8	58	588
9	60	542
10	61	498
11	62	461
12	63	427
13	64	395
14	65	370
15	66	348
16	67	329
17	68	311
18	69	296
19	70	282
20	71	267
21	71	254
22	73	245
23	74	235
24	77	233
25	79	225
26	80	216
27	80	208
28	81	199
29	81	191
30	82	183
31	83	176
32	83	169
33	84	163
34	84	157
35	85	151
36	85	146
37	86	140
38	86	135
39	87	131
40	89	128
41	89	123
42	90	119
43	90	115
44	90	110
45	91	107
46	91	103
47	91	99
48	92	96
49	92	92
50	93	89
51	93	86
52	93	83
53	94	80
54	94	77
55	94	74
56	95	71
57	95	69
58	95	66
59	96	64
60	96	61
61	96	59
62	96	56
63	97	54
64	97	52
65	97	50
66	97	48
67	98	46
68	98	44
69	98	42
70	98	40
71	99	38
72	99	36
73	99	34
74	99	33
75	100	31
76	100	30
77	100	28
78	100	26
79	101	25
80	101	23
81	101	22
82	101	20
83	101	19
84	102	18
85	102	16
86	102	15
87	102	14
88	102	12
89	103	11
90	103	10
91	103	8
92	103	7
93	103	6
94	104	5
95	104	4
96	104	3
97	104	2
98	104	1
99	105	0
